original_text,perturbed_text,original_output,perturbed_output,result_type
Oil and Economy Cloud Stocks' Outlook  NEW YORK (Reuters) - Soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market next week during the depth of the  summer doldrums.,embrocate and Economy mist Stocks' Outlook  NEW YORK (Reuters) - sailplane crude terms plus concern  about the economy and the outlook for salary are await to  attend over the breed commercialise future week during the depth of the  summer stagnancy.,2,3,Successful
"No Need for OPEC to Pump More-Iran Gov  TEHRAN (Reuters) - OPEC can do nothing to douse scorching  oil prices when markets are already oversupplied by 2.8 million  barrels per day (bpd) of crude, Iran's OPEC governor said  Saturday, warning that prices could fall sharply.","No demand for OPEC to heart More-Iran Gov  TEHRAN (Reuters) - OPEC can do nothing to douse scorching  crude toll when markets are already oversupplied by two.8 million  drum per daylight (bpd) of crude, Iran's OPEC governor read  Saturday, admonish that damage could nightfall sharply.",2,0,Successful
Google IPO Auction Off to Rocky Start  WASHINGTON/NEW YORK (Reuters) - The auction for Google  Inc.'s highly anticipated initial public offering got off to a  rocky start on Friday after the Web search company sidestepped  a bullet from U.S. securities regulators.,Google IPO Auction Off to Rocky Start  WASHINGTON/NEW YORK (Reuters) - The auction for Google  Inc.'s highly anticipated initial public volunteer scram off to a  rocky start on Friday after the Web search company sidestepped  a bullet from U.S. securities regulators.,2,3,Successful
Dollar Falls Broadly on Record Trade Gap  NEW YORK (Reuters) - The dollar tumbled broadly on Friday  after data showing a record U.S. trade deficit in June cast  fresh doubts on the economy's recovery and its ability to draw  foreign capital to fund the growing gap.,Dollar strike Broadly on Record patronage col  novel YORK (Reuters) - The dollar tumbled broadly on Friday  after data depict a commemorate uranium.mho. switch deficit in June stamp  fresh doubts on the economy's recovery and its ability to draw  foreign capital to fund the development gap.,2,0,Successful
"Rescuing an Old Saver If you think you may need to help your elderly relatives with their finances, don't be shy about having the money talk -- soon.","Rescuing an quondam rescuer If you think you whitethorn need to help your elderly relatives with their finances, don't be shy about having the money verbalise -- soon.",2,0,Successful
Kids Rule for Back-to-School The purchasing power of kids is a big part of why the back-to-school season has become such a huge marketing phenomenon.,banter Rule for Back-to-School The buy power of child is a big part of why the back-to-school flavour has become such a huge marketing phenomenon.,2,0,Successful
"US trade deficit swells in June The US trade deficit has exploded 19 to a record \$55.8bn as oil costs drove imports higher, according to a latest figures.","US trade deficit swells in June The uranium trade deficit has exploded 19 to a record \$55.8bn as oil costs drove imports higher, according to a latest figures.",2,0,Successful
"Shell 'could be target for Total' Oil giant Shell could be bracing itself for a takeover attempt, possibly from French rival Total, a  press report claims.","Shell 'could be target for Total' Oil giant blast could be bracing itself for a takeover attempt, possibly from French rival Total, a  press report claims.",2,0,Successful
"Google IPO faces Playboy slip-up The bidding gets underway for Google's public offering, despite last-minute worries over an interview with its bosses in Playboy magazine.","Google IPO font Playboy slip-up The bidding gets underway for Google's public offering, despite last-minute worries over an interview with its bosses in Playboy magazine.",2,3,Successful
Expansion slows in Japan Economic growth in Japan slows down as the country experiences a drop in domestic and corporate spending.,Expansion slows in Japan Economic development in Nihon slows down as the land experiences a shed in domestic and corporal spending.,2,0,Successful
"Rand falls on shock SA rate cut Interest rates are trimmed to 7.5 by the South African central bank,  but the lack of warning hits the rand and surprises markets.","Rand capitulation on offend SA rate cut Interest rates are dress to 7.5 by the Confederacy African central swear,  but the miss of warning tally the rand and surprises commercialise.",2,0,Successful
"Car prices down across the board The cost of buying both new and second hand cars fell sharply over the past five years, a new survey has found.","Car prices down across the board The cost of buying both new and second script cars fell sharply over the past five years, a new survey has found.",2,3,Successful
South Korea lowers interest rates South Korea's central bank cuts interest rates by a quarter percentage point to 3.5 in a bid to drive growth in the economy.,South Korea lowers interest rates South Korea's central bank reduce interestingness rates by a tail share point to 3.5 in a offer to get growth in the economy.,2,0,Successful
"Google auction begins on Friday An auction of shares in Google, the web search engine which could be floated for as much as \$36bn, takes place on Friday.","Google auction begins on Friday An auction of shares in Google, the web explore engine which could be swim for as much as \$36bn, takes place on Friday.",2,3,Successful
"HP shares tumble on profit news Hewlett-Packard shares fall after disappointing third-quarter profits, while the firm warns the final quarter will also fall short of expectations.","HP shares tumble on profit word Hewlett-Packard deal precipitate after disappointing third-quarter profits, while the firm warns the final quarter will also fall short of expectations.",2,3,Successful
Mauritian textile firm cuts jobs One of the oldest textile operators on the Indian Ocean island of Mauritius last week shut seven factories and cut 900 jobs.,Mauritanian textile firmly cuts task One of the sometime textile operators on the Indian Ocean island of Mauritius endure workweek shut seven factories and cut 900 jobs.,2,0,Successful
"Chad seeks refugee aid from IMF Chad asks the IMF for a loan to pay for looking after more than 100,000 refugees from conflict-torn Darfur in western Sudan.","Tchad seeks refugee aid from IMF Tchad need the IMF for a loan to yield for search after more than C,000 refugees from conflict-torn Darfur in westerly Soudan.",2,0,Successful
Japan nuclear firm shuts plants The company running the Japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks.,Japan nuclear firm shuts plants The party campaign the Japanese nuclear plant hit by a fatal accident is to close its reactors for safety checks.,2,0,Successful
"Veteran inventor in market float Trevor Baylis, the veteran inventor famous for creating the Freeplay clockwork radio, is planning to float his company on the stock market.","Veteran inventor in market swim Trevor Baylis, the veteran inventor famous for creating the Freeplay clockwork wireless, is planning to float his society on the timeworn market.",2,3,Successful
"Saudi Arabia to open up oil taps Saudi Arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices.","Saudi Arabia to outdoors up embrocate hydrant Saudi Arabia says it is cook to push an extra 1.3 million drum a day of oil into the market, to help reverse surging prices.",2,3,Successful
Saudi phone sector gets \$1bn lift A group led by the UAE's Etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in Saudi Arabia.,Saudi phone sector gets \$1bn rhytidectomy A group conduct by the UAE's Etisalat plans to spend \$1bn (544m) on expansion after winning two mobile phone licences in Saudi Arabia.,2,3,Successful
Indians fill rail skills shortage Network Rail flies in specialist Indian engineers to work on the West Coast Mainline because of a UK skills shortage.,Indians fill rail science shortage Network Rail flies in specialist Indian engineers to work on the West Coast Mainline because of a UK skills shortage.,2,3,Successful
Steady as they go BEDFORD -- Scientists at NitroMed Inc. hope their experimental drugs will cure heart disease someday. But lately their focus has been on more mundane matters.,Steady as they locomote BEDFORD -- Scientists at NitroMed Inc. hope their experimental drugs will cure heart disease someday. But lately their focus has been on more mundane matters.,2,3,Successful
"Google IPO: Type in 'confusing,' 'secrecy' I've submitted my bid to buy shares of Google Inc. in the computer search company's giant auction-style initial public offering. That could turn out to be the good news or the bad news.","Google IPO: Type in 'confusing,' 'secrecy' I've submitted my bid to buy shares of Google Inc. in the computer search company's hulk auction-style initial public volunteer. That could turn out to be the good news or the bad news.",2,3,Successful
"A bargain hunter's paradise Massachusetts bargain hunters showed up in droves and shopped hard on yesterday's sales tax holiday, buying everything from treadmills and snow blowers to candles and chandeliers, and crediting the 5-percent tax break with bringing them into the stores.","axerophthol steal hunter's paradise Massachuset dicker huntsman showed up in horde and shit hard on yesterday's sales tax holiday, buying everything from treadmills and snow blowers to candles and chandeliers, and crediting the 5-percent tax break with impart them into the memory.",2,1,Successful
"Researchers seek to untangle the e-mail thread E-mail is a victim of its own success. That's the conclusion of IBM Corp. researchers in Cambridge, who have spent nearly a decade conducting field tests at IBM and other companies about how employees work and use electronic mail. It's clear to them that e-mail has become the Internet's killer application.","Researchers seek to untangle the email thread email is a victim of its own success. That's the conclusion of IBM Corp. investigator in Cambridge, who have spent nearly a decade conducting champaign tests at IBM and other companies about how employees work and use electronic mail. It's clear to them that e-mail has become the Internet's slayer application.",2,3,Successful
"Microsoft Corp. 2.0: a kinder corporate culture Even a genius can mess up. Bill Gates was a brilliant technologist when he cofounded Microsoft , but as he guided it to greatness in both size and historical consequence, he blundered. He terrorized underlings with his temper and parceled out praise like Scrooge gave to charity. Only the lash inspired the necessary aggressiveness to beat the competition, he thought.","Microsoft Corp. 2.0: a kinder corporate civilisation Even a genius can mess up. broadsheet Gates was a brilliant technologist when he cofounded Microsoft , but as he guided it to greatness in both size and historical consequence, he blundered. He terrorized underlings with his temper and parceled out praise like Scrooge gave to charity. Only the lash inspired the necessary aggressiveness to beat the competition, he recollect.",2,3,Successful
"Letters Target the abusers of legal weapons We can all share the outrage, expressed by columnist Steve Bailey (''Summer Sizzler, quot; Aug. 11), at the killings in the city's poor neighborhoods. But there's no need to share his ignorance. He argues for renewal of the so-called assault weapon ban, claiming that otherwise, ''UZIs and AK-47s could again be flooding the streets. quot; His ...","Letters Target the abuser of legal weapons We can all share the desecrate, extract by columnist Steve Bailey (''Summer Sizzler, quot; Aug. 11), at the killings in the city's poor locality. But there's no need to share his ignorance. He reason for renewal of the so-called assault weapon ban, take that otherwise, ''UZIs and AK-47s could again be flooding the streets. quot; His ...",2,3,Successful
"Somewhere between gleam and gloom President Bush has been saying that the US economy has ''turned the corner. quot; Democratic presidential candidate Senator John F. Kerry, in the wake of this month's poor jobs report, quipped that it was more like a U-turn.","Somewhere between gleam and gloom President Bush has been saying that the uranium economy has ''turned the corner. quot; Democratic presidential candidate Senator John F. Kerry, in the wake of this month's poor jobs cover, quipped that it was more like a U-turn.",2,0,Successful
"Technology company sues five ex-employees  A Marlborough-based technology company is suing five former employees, including three senior managers, for allegedly conspiring against their employer while working on opening a competing business.","Technology caller sues five ex-employees  axerophthol Marlborough-based technology companionship is suing five former employees, including three senior managers, for allegedly conspiring against their employer while working on opening a competing business.",2,3,Successful
"Grant to aid Lynn Central Square Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with \$830,000 in state grant money given to Lynn last week.","Grant to aid Lynn primal Square Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway journeyman embarrass, a key field of the square, with \$830,000 in state grant money given to Lynn last hebdomad.",2,1,Successful
"State grant to aid Lynn; Bank gives Salem \$10k Central Square in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key area of the square, with \$830,000 in state grant money given to Lynn last week.","State grant to aid Lynn; swear gives Salem \$10k Central lame in Lynn should be looking a bit brighter. New sidewalks, curbs, fences, lights, landscaping, and road improvements are planned for the Gateway Artisan Block, a key field of the square, with \$830,000 in state grant money given to Lynn last week.",2,1,Successful
"A New Legal Chapter for a 90's Flameout A lawsuit against Gary Winnick, the former chief of Global Crossing, refocuses attention on what Mr. Winnick knew about his company's finances as it imploded.","axerophthol New Legal Chapter for a 90's Flameout A lawsuit against Gary Winnick, the former chief of planetary thwart, refocuses attention on what Mr. Winnick knew about his company's finances as it imploded.",2,3,Successful
"Will Russia, the Oil Superpower, Flex Its Muscles? Russia is again emerging as a superpower - but the reason has less to do with nuclear weapons than with oil.","Will Russia, the anele Superpower, Flex Its Muscles? Russia is again emerging as a superpower - but the reason has less to do with nuclear weapons than with oil.",2,0,Successful
"Switching Titles, if Not Gears, at Dell Kevin B. Rollins, the new chief executive of Dell, talks about Dell's transitory slip in customer service, and why he sees a broader technology recovery taking place.","flip-flop Titles, if Not Gears, at Dell Kevin B. Rollins, the new chief executive of Dell, talks about Dell's transitory slip in customer service, and why he sees a broader technology recovery taking place.",2,3,Successful
"For Sale: The Ultimate Status Symbol With the country in need of cash and rich people dying to show off their wealth, Mr. Stein proposes a unique solution: having the government sell titles of nobility.","For Sale: The Ultimate Status Symbol With the country in demand of cash and rich people choke to depict off their wealth, Mr. Stein suggest a unequaled solution: having the authorities sell entitle of nobility.",2,0,Successful
Quality Gets Swept Away Quality Distribution is hammered after reporting a large loss for the second quarter.,Quality Gets Swept Away Quality Distribution is hammered after reporting a large loss for the bit quarter.,2,3,Successful
"Making Your Insurer Pay If Hurricane Charley blows your house down, how can you make your insurance company pay?","ca-ca Your Insurer Pay If Hurricane Charley blows your house down, how can you make your insurance company pay?",2,3,Successful
Delightful Dell The company's results show that it's not grim all over tech world. Just all of it that isn't Dell.,Delightful Dell The company's results show that it's not sorry all over tech world. Just all of it that isn't Dell.,2,3,Successful
"Chrysler's Bling King After a tough year, Detroit's troubled carmaker is back -- thanks to a maverick designer and a car that is dazzling the hip-hop crowd","Chrysler's Bling world-beater After a tough year, Detroit's upset carmaker is back -- thanks to a maverick intriguer and a car that is dazzling the hip-hop crowd",2,1,Successful
What's Cool In the Pool ... ... And Hot On the Deck Americans are spending more on tricking out the places where they swim. Here's a look at the new wave of accessories,What's Cool In the Pool ... ... And Hot On the Deck Americans are spending more on tricking out the places where they swim. Here's a look at the new wave of appurtenance,2,1,Successful
The Age of Doom In 1993 six geeks had a digital nightmare that changed the culture. It's about to get far creepier,The Age of designate In 1993 six oddball had a digital nightmare that changed the culture. It's about to get far creepier,2,1,Successful
Hip Hop's Online Shop Celebrity fashion is booming. These webpreneurs are bringing it to main street,Hip Hop's Online browse Celebrity fashion is booming. These webpreneurs are bringing it to main street,2,3,Successful
Stoking the Steamroller No other recording artist can channel American middle-class tastes quite like Chip Davis and his best-selling band,Stoking the Steamroller No other recording artist can channel American middle-class sample quite comparable Chip Davis and his best-selling band,2,3,Successful
Coming to The Rescue Got a unique problem? Not to worry: you can find a financial planner for every specialized need,Coming to The Rescue sire a unique problem? Not to worry: you can find a financial contriver for every specialized need,2,1,Successful
"The New Customers Are In Town Today's customers are increasingly demanding, in Asia as elsewhere in the world.  Henry Astorga describes the complex reality faced by today's marketers, which includes much higher expectations than we have been used to.  Today's customers want performance, and they want it now! ","The novel Customers Are In Town Today's customers are increasingly demanding, in Asia as elsewhere in the world.  Henry Astorga depict the complex reality faced by today's marketers, which includes much higher expectations than we have been victimised to.  Today's customers want execution, and they want it now! ",2,0,Successful
"Barrel of Monkeys, 2004 Edition: Notes on Philippine Elections Well, it's election time in the Republic of the Philippines, and that means the monkeys are rolling around in those political barrels, having as much fun as they can while laughing their heads off at the strange goings-on that characterize a democratic process loosely based on the American model  but that de facto looks more like a Fellini movie crossed with a Tom and Jerry cartoon - column includes a useful election-year glossary!","bbl of scamp, 2004 Edition: Notes on Filipino Elections intimately, it's election time in the Republic of the Filipino, and that means the monkeys are range around in those political barrels, having as much fun as they can while laughing their brain off at the strange goings-on that characterize a democratic process loosely based on the American model  but that de facto looks more like a Fellini movie crossed with a Tom and Jerry cartoon - column includes a useful election-year glossary!",2,3,Successful
"Oldsmobile: The final parking lot Why General Motors dropped the Oldsmobile. The four brand  paradoxes GM had to face - the name, the product, image re-positioning, and the consumer - all added up to a brand that had little hope of rebranding.","Oldsmobile: The net parking dispense Why General Motors deteriorate the Oldsmobile. The four post  paradoxes GM had to font - the cite, the product, image re-positioning, and the consumer - all add up to a stigma that had little hope of rebranding.",2,3,Successful
"Not All Jobs Belong To The White Man: Asian Minorities, Affirmative Action, And The Quest For Parity At Work Although a smattering of Chinese, Filipinos, Japanese, Indians, Thais, and others may crow about seeing their kind sitting in prominent positions in corporations and organizations in the USA, these accomplishments become mere cultural high-fives and ritualistic chest-thumping goaded and impishly patronized by 'mainstream society' - the milder and gentler term for the white-dominated populace.","Not All subcontract Belong To The White Man: Asian Minorities, Affirmative Action, And The Quest For Parity At study Although a smattering of Chinese, Filipinos, Japanese, Indians, Thais, and others may crow about seeing their kind sitting in prominent positions in corporations and organizations in the USA, these accomplishments become mere cultural high-fives and ritualistic chest-thumping goaded and impishly patronized by 'mainstream society' - the milder and gentler term for the white-dominated populace.",2,3,Successful
"Downhome Pinoy Blues, Intersecting Life Paths, and Heartbreak Songs The Blues is alive and well in the Philippines, as evidenced by this appreciation of the Pinoy Blues band 'Lampano Alley', penned by columnist Clarence Henderson as a counterpoint to his usual economics, business, and culture fare.","Downhome Pinoy blue, Intersecting biography itinerary, and brokenheartedness Songs The Blues is alive and comfortably in the Philippines, as evidenced by this appreciation of the Pinoy Blues striation 'Lampano Alley', penned by columnist Clarence Henderson as a counterpoint to his usual economics, business, and culture fare.",2,0,Successful
"The Real Time Modern Manila Blues: Bill Monroe Meets Muddy Waters in the Orient Globalization does strange things to people. A day in the life of a Manila Philippines based business consultant - proving that you really CAN talk about Muddy Walters, bluegrass and work all on the same page...","The Real Time Modern Manila Blues: Bill Monroe Meets Muddy Waters in the Orient Globalization does strange things to people. A day in the life of a Manila Philippines based line consultant - proving that you really CAN talk about Muddy Walters, bluegrass and work all on the same page...",2,1,Successful
"Best Asian Tourism Destinations The new APMF survey of the best Asian tourism destinations has just kicked off, but it's crowded at the top, with Chiang Mai in Thailand just leading from perennial favourites Hong Kong, Bangkok and Phuket in Thailand, and Bali in  Indonesia. Be one of the first to vote and let us know your reasons.","Best Asian Tourism Destinations The novel APMF survey of the best Asian tourism destinations has just kicked off, but it's crowded at the top, with Chiang Mai in Thailand just leading from perennial favourites Hong Kong, Bangkok and Phuket in Thailand, and Bali in  Indonesia. Be one of the first to suffrage and let us know your reasons.",2,0,Successful
"What are the best cities for business in Asia? One of our new categories in the APMF Sense of Place survey is for best Asian business city. After a couple of days, Singapore leads the pack, followed by Bangkok, Thailand and Hong Kong. Enter your vote and comments and make your views count. More new categories include best city for livability, and best tourism destinations.","What are the best cities for business in Asia? peerless of our new categories in the APMF signified of Place survey is for best Asian business city. After a couple of days, Singapore leads the pack, followed by Bangkok, Thailand and Hong Kong. Enter your vote and comments and ca-ca your views count. More new categories include best city for livability, and best tourism destinations.",2,3,Successful
"IT alligator tales I grew up in New York, where giant alligators -- sometimes more ornately described as albino alligators -- were rumored to roam the citys sewer systems. According to legend, vacationers picked up the tiny crocodilians in Florida, brought them home to New York, and eventually flushed the little buggers when they grew too big for the local concrete jungle.","IT gator narration I grew up in New York, where giant gator -- sometimes more ornately described as albino alligators -- were rumored to roam the citys sewer systems. According to legend, vacationers beak up the tiny crocodilians in Florida, brought them home to New York, and eventually flushed the little buggers when they grew too big for the local concrete jungle.",2,3,Successful
"IT Myth 5: Most IT projects fail Do most IT projects fail? Some point to the number of giant consultancies such as IBM Global Services, Capgemini, and Sapient, who feed off bad experiences encountered by enterprises. Sapient is a company founded on the realization that IT projects are not successful, says Sapient CTO Ben Gaucherin.","IT Myth 5: Most IT contrive fail Do most IT projects fail? Some point to the number of hulk consultancies such as IBM world-wide Services, Capgemini, and Sapient, who feed off bad experiences encountered by enterprises. Sapient is a company founded on the realization that IT projects are not successful, says Sapient CTO Ben Gaucherin.",2,3,Successful
BEA grabs CA exec to head product group BEA Systems Inc. has hired the Computer Associates International Inc. executive responsible for CA's Unicenter line of enterprise management software to head BEA's product development group.,BEA grabs CA exec to head product group BEA Systems Inc. has hired the Computer Associates International Inc. executive responsible for CA's Unicenter line of enterprise management software to head BEA's product development group.,2,3,Successful
"Autodesk tackles project collaboration Autodesk  this week unwrapped an updated version of its hosted project collaboration service targeted at the construction and manufacturing industries. Autodesk Buzzsaw lets multiple, dispersed project participants -- including building owners, developers, architects, construction teams, and facility managers -- share and manage data throughout the life of a project, according to Autodesk officials.","Autodesk tackles visualize collaboration Autodesk  this week unwrapped an updated variation of its hosted visualize collaboration service targeted at the construction and manufacturing industries. Autodesk Buzzsaw lets multiple, dispersed project participants -- including building owners, developers, architects, construction teams, and facility managers -- share and manage data throughout the life of a project, according to Autodesk officials.",2,3,Successful
"U.K.'s NHS taps Gartner to help plan \$9B IT overhaul LONDON -- The U.K.'s National Health Service (NHS) has tapped IT researcher Gartner Inc. to provide market intelligence services as the health organization forges ahead with a mammoth, 5 billion (\$9.2 billion) project to upgrade its information technology infrastructure.","U.K.'s NHS taps Gartner to help plan \$9B IT overhaul LONDON -- The U.K.'s National Health Service (NHS) has wiretap IT researcher Gartner Inc. to provide commercialize intelligence services as the health organization forges ahead with a mammoth, 5 1000000000000 (\$9.2 billion) project to upgrade its information technology infrastructure.",2,3,Successful
"Play Boys: Google IPO a Go Anyway Even though Google's two founders gave an interview to Playboy magazine in the midst of its IPO filing, the SEC allowed the company's offering to go ahead. The boys filed the interview with the SEC and corrected mistakes in it.","sport Boys: Google IPO a Go Anyway Even though Google's two founders gave an interview to Playboy magazine in the midst of its IPO filing, the SEC allowed the company's offering to go ahead. The boys filed the interview with the SEC and corrected mistakes in it.",2,1,Successful
More Big Boobs in Playboy An interview with Google's co-founders due out in the current issue of Playboy may delay the company's IPO. Securities regulations restrict what executives can say while preparing to sell stock for the first time.,More cock-a-hoop Boobs in Corinthian An interview with Google's co-founders due out in the current issue of Playboy may delay the company's IPO. Securities regulations restrict what executives can say while preparing to sell stock for the first time.,2,3,Successful
"A Personal Operator From Verizon Verizon plans to offer a service that would act as a virtual switchboard operator, letting customers stay in touch at all times. The program would send phone calls, voicemails and e-mails wherever customers designate. By Elisa Batista.","axerophthol Personal Operator From Verizon Verizon design to crack a service that would act as a virtual switchboard operator, letting customers arrest in touch at all times. The program would send phone calls, voicemails and e-mails wherever customers depute. By Elisa Batista.",2,3,Successful
Paid Search Growth May Slow A new Internet advertising forecast shows a slowdown in paid search listings in the next five years. Will the projection affect Google's prospects when it goes public?,Paid Search Growth May Slow axerophthol new Internet advertising forecast shows a slowdown in paid search listings in the next five years. Will the projection affect Google's prospects when it goes public?,2,3,Successful
"Fark Sells Out. France Surrenders Blogs are the hottest thing on the Net, but are they messing with traditional publishing principles? One of the most popular, Fark.com, is allegedly selling links. Is it the wave of the future? By Daniel Terdiman.","Fark Sells kayoed. France Surrenders Blogs are the hottest thing on the Net, but are they messing with traditional publishing principles? One of the most popular, Fark.com, is allegedly selling links. Is it the wave of the future? By Daniel Terdiman.",2,3,Successful
"'Madden,' 'ESPN' Football Score in Different Ways (Reuters) Reuters - Was absenteeism a little high\on Tuesday among the guys at the office? EA Sports would like\to think it was because ""Madden NFL 2005"" came out that day,\and some fans of the football simulation are rabid enough to\take a sick day to play it.","'Madden,' 'ESPN' Football Score in Different Ways (Reuters) Reuters - Was absenteeism a little high\on Tuesday among the guys at the agency? EA athletics would like\to think it was because ""Madden NFL 2005"" came out that day,\and some fans of the football feigning are rabid enough to\take a sick day to play it.",3,1,Successful
"Group to Propose New High-Speed Wireless Format (Reuters) Reuters - A group of technology companies\including Texas Instruments Inc. (TXN.N), STMicroelectronics\(STM.PA) and Broadcom Corp. (BRCM.O), on Thursday said they\will propose a new wireless networking standard up to 10 times\the speed of the current generation.","Group to advise New High-Speed tuner initialize (Reuters) Reuters - ampere group of technology companies\include Texas Instruments Inc. (TXN.N), STMicroelectronics\(STM.protactinium) and Broadcom Corp. (BRCM.O), on Thursday said they\will nominate a newly tuner networking stock up to 10 clip\the amphetamine of the flow multiplication.",3,2,Successful
AOL to Sell Cheap PCs to Minorities and Seniors (Reuters) Reuters - America Online on Thursday said it\plans to sell a low-priced PC targeting low-income and minority\households who agree to sign up for a year of dialup Internet\service.,AOL to Sell chinchy PCs to minority and Seniors (Reuters) Reuters - America on-line on Thursday said it\plans to sell a low-priced PC targeting low-income and minority\households who agree to sign up for a twelvemonth of dialup net\service.,3,2,Successful
"Companies Approve New High-Capacity Disc Format (Reuters) Reuters - A group of consumer electronics\makers said on Wednesday they approved the format for a new\generation of discs that can store five times the data of DVDs\at the same cost -- enough to put a full season of ""The\Sopranos"" on one disc.","Companies okay young High-Capacity Disc Format (Reuters) Reuters - amp group of consumer electronics\manufacturer aforesaid on Wednesday they approved the initialize for a new\coevals of record that can store five multiplication the data of DVDs\at the same cost -- enough to assign a full season of ""The\Sopranos"" on nonpareil disc.",3,2,Successful
Missing June Deals Slow to Return for Software Cos. (Reuters) Reuters - The mystery of what went wrong for the\software industry in late June when sales stalled at more than\20 brand-name companies is not even close to being solved\although the third quarter is nearly halfway over.,escape June sight Slow to repay for Software cobalt. (Reuters) Reuters - The mystery of what conk wrong for the\software industry in former June when sales dilly-dally at more than\20 brand-name companies is not even close to being clear\although the tierce quarter is intimately halfway over.,3,2,Successful
