result_type	original_text	perturbed_text	original_output	perturbed_output
Failed	at once half-baked and overheated .	at once half-baked and overheated .	0	0
Successful	this is a shameless sham , calculated to cash in on the popularity of its stars .	it's a big game, calculated to get its stars to the peak of popularity.	0	1
Successful	jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .	"a positive outlook on the development of a race and a significant defeat on the auto-pilot of an anti-Darwinian ""Jason x"" is a perfect positive solution to the development of the"	0	1
Failed	people cinema at its finest .	people cinema at its finest .	1	1
Failed	` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '	` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '	1	1
Successful	if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .	you know what it's going to be worth a week from Friday, if you believe this.	0	1
Failed	candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .	candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .	1	1
Failed	more romantic , more emotional and ultimately more satisfying than the teary-eyed original .	more romantic , more emotional and ultimately more satisfying than the teary-eyed original .	1	1
Successful	it offers little beyond the momentary joys of pretty and weightless intellectual entertainment .	it's not much more than a fleeting, momentary joy in a kind of non-weightless intellectual joy	0	1
Failed	it 's a remarkably solid and subtly satirical tour de force .	it 's a remarkably solid and subtly satirical tour de force .	1	1
Failed	coughs and sputters on its own postmodern conceit .	coughs and sputters on its own postmodern conceit .	0	0
Failed	with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .	with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .	0	0
Failed	lovely and poignant .	lovely and poignant .	1	1
Failed	at times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential .	at times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential .	0	0
Failed	... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause .	... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause .	0	0
Successful	paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface .	for starters, it's a full-price, even when it's actually a highly charged scene, which uses clips from the great-grandfather of Brien de Palma's	0	1
Successful	american chai encourages rueful laughter at stereotypes only an indian-american would recognize .	chai speaks only of stereotypes of an Indian-American, but only an Indian-American will recognize the rueful laughter.	0	1
Successful	visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .	it's all over the place, and we feel a lot of fun, but we can't even remember the typical kiddie-flick sentimentality.	1	0
Successful	directed in a paint-by-numbers manner .	in a way that paints the numbers on the painting.	0	1
Successful	the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second .	a movie about a ghost of the dead crossing a dead train with a ghost of the dead from Mars.	0	1
Successful	detox is ultimately a pointless endeavor .	detoxing is ultimately pointless, but it is worthwhile.	0	1
Successful	despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on tv and purports to amuse small children and ostensible adults .	even though there's evidence to the contrary, the clunker is a real feature film, like a popular and entertaining series on television and on the internet, which leads to big children and ostensible adults.	0	1
Failed	so unremittingly awful that labeling it a dog probably constitutes cruelty to canines .	so unremittingly awful that labeling it a dog probably constitutes cruelty to canines .	0	0
Successful	i just loved every minute of this film .	it's all a bit of a movie for me.	1	0
Failed	the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment .	the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment .	0	0
Successful	to say this was done better in wilder 's some like it hot is like saying the sun rises in the east .	as a say it's better in the wilder is like the sun rises in the east.	0	1
Successful	the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes .	the more the film goes, the worse it gets, but it's really good at the beginning.	0	1
Failed	they should have called it gutterball .	they should have called it gutterball .	0	0
Successful	it 's a bit disappointing that it only manages to be decent instead of dead brilliant .	it's a shame he doesn't really have a great deal of excellence, but rather a good enough to die.	0	1
Failed	that 's a cheat .	that 's a cheat .	0	0
Successful	the title not only describes its main characters , but the lazy people behind the camera as well .	the title's description doesn't only describe the main characters, but the cameraman who is behind the camera.	0	1
Successful	i do n't think i laughed out loud once .	I'm not sure I've ever laughed so loudly.	0	1
Successful	may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .	but the film's fictionalized appearance, which will likely be seen on cable television, will likely be rekindled by the debate about the Kennedy assassination.	0	1
Failed	taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .	taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .	0	0
Successful	i am sorry that i was unable to get the full brunt of the comedy .	I'm sorry I couldn't take the whole show.	0	1
Failed	the movie fails to live up to the sum of its parts .	the movie fails to live up to the sum of its parts .	0	0
Failed	it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .	it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .	0	0
Successful	here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep .	the sequel to the horror series in the horror film genre is another studio horror series that can't even be taken down in sleep.	0	1
Failed	for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener .	for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener .	1	1
Successful	if steven soderbergh 's ` solaris ' is a failure it is a glorious failure .	it is a glorious failure of the 'Solaris' by Steve Soderbergh.	1	0
Successful	there 's a wickedly subversive bent to the best parts of birthday girl .	the best part of the girl's birthday is a thoroughly subversive thing.	1	0
Failed	while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious .	while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious .	1	1
Failed	while -lrb- hill -rrb- has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film .	while -lrb- hill -rrb- has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film .	0	0
Successful	this is the sort of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot device left standing .	the film is about a big action movie, a film that feels like a drunken roundhouse with a twist of logic, the films of this sort of tough action film.	0	1
Successful	the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom .	the director knows how to apply a thin and graphic display of sex, but the film is purely comic.	0	1
Successful	-lrb- a -rrb- shapeless blob of desperate entertainment .	-rrb- a -rrb- a small puddle of fun.	0	1
Successful	dazzling in its complexity , disturbing for its extraordinary themes , the piano teacher is a film that defies categorisation .	the piano teacher is a film that is hard to classify, and the music teacher is a movie that defies classification.	1	0
Failed	an exhilarating futuristic thriller-noir , minority report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order	an exhilarating futuristic thriller-noir , minority report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order	1	1
Successful	this film seems thirsty for reflection , itself taking on adolescent qualities .	the film seems to reflect itself, taking on the spirit of adolescence.	0	1
Failed	from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie .	from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie .	0	0
Successful	it has all the excitement of eating oatmeal .	it's a great meal to eat oatmeal.	0	1
Failed	the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take .	the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take .	0	0
Failed	it all adds up to good fun .	it all adds up to good fun .	1	1
Failed	`` the time machine '' is a movie that has no interest in itself .	`` the time machine '' is a movie that has no interest in itself .	0	0
Successful	something akin to a japanese alice through the looking glass , except that it seems to take itself far more seriously .	it's like a Japanese Alice in the window, except that it seems more serious than it really is.	1	0
Failed	ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine .	ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine .	0	0
Successful	the moviegoing equivalent of going to a dinner party and being forced to watch the host and hostess 's home video of their baby 's birth .	as a movie theater and watching the parents and the host of the host's house on the baby's birth video.	0	1
Failed	a coarse and stupid gross-out .	a coarse and stupid gross-out .	0	0
Successful	cool ?	is that what it is?	1	0
Successful	the film tunes into a grief that could lead a man across centuries .	the film is aimed at a man across centuries, which may lead to a lot of grief.	1	0
Failed	a string of rehashed sight gags based in insipid vulgarity .	a string of rehashed sight gags based in insipid vulgarity .	0	0
Successful	the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .	there is a recommendation that the weight of the piece, the impeccable professionalism of the freezing production, and the fascination with the scandalous subject have weighed in the ratio.	1	0
Failed	it appears that something has been lost in the translation to the screen .	it appears that something has been lost in the translation to the screen .	0	0
Failed	the second coming of harry potter is a film far superior to its predecessor .	the second coming of harry potter is a film far superior to its predecessor .	1	1
Successful	when leguizamo finally plugged an irritating character late in the movie .	when the dialogues finally come to an end, the leguizamon's personality finally clicked.	0	1
Failed	as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting .	as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting .	0	0
Successful	despite the 2-d animation , the wild thornberrys movie makes for a surprisingly cinematic experience .	even though the two-dimensional film has the same visual quality as the wild berry movie.	1	0
Failed	uses high comedy to evoke surprising poignance .	uses high comedy to evoke surprising poignance .	1	1
Failed	the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .	the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .	0	0
Failed	an infectious cultural fable with a tasty balance of family drama and frenetic comedy .	an infectious cultural fable with a tasty balance of family drama and frenetic comedy .	1	1
Failed	like being trapped at a perpetual frat party ... how can something so gross be so boring ?	like being trapped at a perpetual frat party ... how can something so gross be so boring ?	0	0
Failed	feels too formulaic and too familiar to produce the transgressive thrills of early underground work .	feels too formulaic and too familiar to produce the transgressive thrills of early underground work .	0	0
Failed	a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences .	a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences .	1	1
Failed	awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '	awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '	1	1
Failed	-lrb- a -rrb- n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s .	-lrb- a -rrb- n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s .	1	1
Failed	neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .	neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .	1	1
Failed	seldahl 's barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .	seldahl 's barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .	1	1
Failed	filmmakers who can deftly change moods are treasures and even marvels .	filmmakers who can deftly change moods are treasures and even marvels .	1	1
Successful	what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you .	the fact that the film is entirely, and fully, engages you is a surprise to some of the film's part, but the part that is surprising is that the film is not entirely honest	1	0
Failed	it 's a scattershot affair , but when it hits its mark it 's brilliant .	it 's a scattershot affair , but when it hits its mark it 's brilliant .	1	1
Failed	just as moving , uplifting and funny as ever .	just as moving , uplifting and funny as ever .	1	1
Failed	the wild thornberrys movie is a jolly surprise .	the wild thornberrys movie is a jolly surprise .	1	1
Failed	exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling .	exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling .	1	1
Failed	this movie is maddening .	this movie is maddening .	0	0
Successful	not since freddy got fingered has a major release been so painful to sit through .	no, it hasn't been as painful as it was when Freddy was fingered.	0	1
Failed	not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .	not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .	1	1
Failed	another in-your-face wallow in the lower depths made by people who have never sung those blues .	another in-your-face wallow in the lower depths made by people who have never sung those blues .	0	0
Successful	that dogged good will of the parents and ` vain ' jia 's defoliation of ego , make the film touching despite some doldrums .	despite some of the films are made in the tiniest of places, the film is touched by some of the worst, for the sake of the parents and their sense of self	1	0
Failed	allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker .	allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker .	1	1
Failed	one of the most significant moviegoing pleasures of the year .	one of the most significant moviegoing pleasures of the year .	1	1
Successful	an occasionally funny , but overall limp , fish-out-of-water story .	a mildly amusing, occasionally amusing story about the sea.	0	1
Successful	what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action .	in general, the film has a deficiency in general focus, which is largely made up of compassion, as the film does find the seeds of hope in the form of collective action.	1	0
Successful	but it could have been worse .	but it's not that bad.	0	1
Successful	a wildly inconsistent emotional experience .	a very unpredictable emotional experience.	0	1
Successful	it 's as if you 're watching a movie that was made in 1978 but not released then because it was so weak , and it has been unearthed and released now , when it has become even weaker .	it's like watching a movie that was released in 1978, but was not released then, and it has been restored and released.	0	1
Successful	we root for -lrb- clara and paul -rrb- , even like them , though perhaps it 's an emotion closer to pity .	we're rooting for -lra- Paula and Paul -rrb-.	1	0
Failed	if you dig on david mamet 's mind tricks ... rent this movie and enjoy !	if you dig on david mamet 's mind tricks ... rent this movie and enjoy !	1	1
Successful	you wo n't like roger , but you will quickly recognize him .	roger won't be happy, but you'll soon recognize him.	0	1
Successful	delivers the same old same old , tarted up with latin flava and turned out by hollywood playas .	he's like a guy, but he's a man. He's got a lot of Latin and Italian flava, and he's got Hollywood actors	0	1
Successful	for starters , the story is just too slim .	first of all, it's not really thin.	0	1
Successful	the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays .	X's magic powers are incredible strength and laser beams that cannot be discerned by the screen.	0	1
Failed	my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it 's virtually its own hollywood remake .	my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it 's virtually its own hollywood remake .	1	1
Successful	an overemphatic , would-be wacky , ultimately tedious sex farce .	obsessive, imitator, fidgeting, eventually tedious, rather amusing.	0	1
Successful	\/ but daphne , you 're too buff \/ fred thinks he 's tough \/ and velma - wow , you 've lost weight !	\ / I'm so nice, but daphne, you're too much of a guy / you look great!	0	1
Failed	feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot .	feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot .	0	0
Successful	the piquant story needs more dramatic meat on its bones .	there's a lot of meat in the piquant story.	0	1
Successful	a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .	a film that is more compelling and clearer than most films than it is, and that in which there are a lot of repetitions and inconsistencies that don't make much of	1	0
Successful	an unwise amalgam of broadcast news and vibes .	uncommon mixture of broadcasts and electromagnetic waves.	0	1
Successful	a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ...	the colossal visage of self-importance, the gargantuan gargoyle, utterly impressed by its own huge height...	0	1
Failed	not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .	not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .	1	1
Successful	a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .	in the screen, there was a full world, not some carefully structured plot point that would build to a useful solution.	1	0
Failed	fancy a real downer ?	fancy a real downer ?	0	0
Successful	a painfully funny ode to bad behavior .	a tribute to bad behavior.	1	0
Successful	featuring a dangerously seductive performance from the great daniel auteuil , `` sade '' covers the same period as kaufmann 's `` quills '' with more unsettlingly realistic results .	"with the same time as kaufmann's "" quills"" with more alarming results, ""sade"" also includes the same period as Daniel Auteuil's ""sade"" with more alarming results."	1	0
Failed	given how heavy-handed and portent-heavy it is , this could be the worst thing soderbergh has ever done .	given how heavy-handed and portent-heavy it is , this could be the worst thing soderbergh has ever done .	0	0
Successful	has all the depth of a wading pool .	he's like a swimming pool.	0	1
Failed	the fly-on-the-wall method used to document rural french school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work .	the fly-on-the-wall method used to document rural french school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work .	1	1
Failed	it 's just filler .	it 's just filler .	0	0
Failed	a deep and meaningful film .	a deep and meaningful film .	1	1
Successful	sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you .	you don't have to worry about the magic watch, you have a dvd player.	0	1
Successful	holden caulfield did it better .	that's right, it's more efficient with Nissan.	0	1
Successful	the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .	the action changes the past and the present, but the symbolic links that would lead the emotional ties that would span the 125-year gap.	0	1
Failed	samira makhmalbaf 's new film blackboards is much like the ethos of a stream of consciousness , although , it 's unfortunate for the viewer that the thoughts and reflections coming through are torpid and banal	samira makhmalbaf 's new film blackboards is much like the ethos of a stream of consciousness , although , it 's unfortunate for the viewer that the thoughts and reflections coming through are torpid and banal	0	0
Successful	well-nigh unendurable ... though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull .	but it is almost unendurable, but the film will become an entertaining film.	0	1
Failed	there is no pleasure in watching a child suffer .	there is no pleasure in watching a child suffer .	0	0
Failed	suffers from the lack of a compelling or comprehensible narrative .	suffers from the lack of a compelling or comprehensible narrative .	0	0
Failed	-lrb- t -rrb- here 's only so much anyone can do with a florid , overplotted , anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them .	-lrb- t -rrb- here 's only so much anyone can do with a florid , overplotted , anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them .	0	0
Successful	if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world .	"you can't go deep into this world with such a self-conscious sense of ""there's just a grace of God"" in this movie."	0	1
Successful	for movie lovers as well as opera lovers , tosca is a real treat .	the only real treat for movie lovers and opera lovers.	1	0
Failed	the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .	the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .	1	1
Failed	the film 's performances are thrilling .	the film 's performances are thrilling .	1	1
Failed	a fitfully amusing romp that , if nothing else , will appeal to fans of malcolm in the middle and its pubescent star , frankie muniz .	a fitfully amusing romp that , if nothing else , will appeal to fans of malcolm in the middle and its pubescent star , frankie muniz .	1	1
Successful	in all , this is a watchable movie that 's not quite the memorable experience it might have been .	this is a movie that doesn't really make any memorable movie, but it's still a fun movie.	0	1
Failed	affleck and jackson are good sparring partners .	affleck and jackson are good sparring partners .	1	1
Failed	it inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . '	it inspires a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows . '	1	1
Failed	... with `` the bourne identity '' we return to the more traditional action genre .	... with `` the bourne identity '' we return to the more traditional action genre .	1	1
Failed	what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about .	what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about .	0	0
Failed	holm ... embodies the character with an effortlessly regal charisma .	holm ... embodies the character with an effortlessly regal charisma .	1	1
Successful	-lrb- næs -rrb- directed the stage version of elling , and gets fine performances from his two leads who originated the characters on stage .	- L-r-r-r-r-r-r-r-r-r-r-r-r-r-r-r-r-r-r-	1	0
Failed	my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor .	my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor .	1	1
Successful	if director michael dowse only superficially understands his characters , he does n't hold them in contempt .	he doesn't have contempt for the director Michael Dowse, only partially understands him.	0	1
Failed	whaley 's determination to immerse you in sheer , unrelenting wretchedness is exhausting .	whaley 's determination to immerse you in sheer , unrelenting wretchedness is exhausting .	0	0
Failed	at its best , queen is campy fun like the vincent price horror classics of the '60s .	at its best , queen is campy fun like the vincent price horror classics of the '60s .	1	1
Successful	moretti 's compelling anatomy of grief and the difficult process of adapting to loss .	the extensive anatomy of grief and the difficult process of grieving.	0	1
Successful	a tv style murder mystery with a few big screen moments -lrb- including one that seems to be made for a different film altogether -rrb- .	a classic murder mystery - Rrrb- with a few big screen scenes - Lrb-.	0	1
Failed	the end result is a film that 's neither .	the end result is a film that 's neither .	0	0
Failed	scorsese does n't give us a character worth giving a damn about .	scorsese does n't give us a character worth giving a damn about .	0	0
Failed	an artful , intelligent film that stays within the confines of a well-established genre .	an artful , intelligent film that stays within the confines of a well-established genre .	1	1
Failed	makes for a pretty unpleasant viewing experience .	makes for a pretty unpleasant viewing experience .	0	0
Failed	travels a fascinating arc from hope and euphoria to reality and disillusionment .	travels a fascinating arc from hope and euphoria to reality and disillusionment .	1	1
Failed	altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .	altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .	1	1
Successful	... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young gaghan 's resume .	a thriller that shouldn't hurt talent in young ghana's resume... but should definitely not hurt talent of young...'s friends.	1	0
Failed	the story and structure are well-honed .	the story and structure are well-honed .	1	1
Failed	has a lot of the virtues of eastwood at his best .	has a lot of the virtues of eastwood at his best .	1	1
Failed	do n't be fooled by the impressive cast list - eye see you is pure junk .	do n't be fooled by the impressive cast list - eye see you is pure junk .	0	0
Failed	do not see this film .	do not see this film .	0	0
Failed	a fast , funny , highly enjoyable movie .	a fast , funny , highly enjoyable movie .	1	1
Failed	this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country .	this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country .	1	1
Successful	a rewarding work of art for only the most patient and challenge-hungry moviegoers .	only the most patient and laborious viewers would be rewarded with such an art.	1	0
Failed	due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality .	due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality .	0	0
Failed	a by-the-numbers effort that wo n't do much to enhance the franchise .	a by-the-numbers effort that wo n't do much to enhance the franchise .	0	0
Failed	enormously entertaining for moviegoers of any age .	enormously entertaining for moviegoers of any age .	1	1
Failed	thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men .	thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men .	1	1
Failed	richard gere and diane lane put in fine performances as does french actor oliver martinez .	richard gere and diane lane put in fine performances as does french actor oliver martinez .	1	1
Failed	immersing us in the endlessly inventive , fiercely competitive world of hip-hop djs , the project is sensational and revelatory , even if scratching makes you itch .	immersing us in the endlessly inventive , fiercely competitive world of hip-hop djs , the project is sensational and revelatory , even if scratching makes you itch .	1	1
Failed	a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable .	a pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable .	1	1
Failed	an important movie , a reminder of the power of film to move us and to make us examine our values .	an important movie , a reminder of the power of film to move us and to make us examine our values .	1	1
Failed	griffiths proves she 's that rare luminary who continually raises the standard of her profession .	griffiths proves she 's that rare luminary who continually raises the standard of her profession .	1	1
Failed	an entertaining , colorful , action-filled crime story with an intimate heart .	an entertaining , colorful , action-filled crime story with an intimate heart .	1	1
Failed	and that 's a big part of why we go to the movies .	and that 's a big part of why we go to the movies .	1	1
Successful	the movie achieves as great an impact by keeping these thoughts hidden as ... -lrb- quills -rrb- did by showing them .	as in the case of the film, which hides those thoughts as...... -lrb- quills -rrb- did by showing them.	1	0
Successful	the film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip .	it's not worth the trip for the hilarity and a couple of insanely funny moments -- most of which are silly movie business -- the film is almost useless.	1	0
